State, parcel level, s, number of minority districts, model result, model time 
NM,county,4,1,Infeasible,0.02,
NM,county,5,1,Feasible,0.08,
NM,tract,12,2,Timeout,3601.45,
NM,tract,12,1,Timeout,3601.90,
CO,tract,11,1,Infeasible,0.09,
AZ,tract,12,3,Timeout,3618.12,
AZ,tract,12,2,Timeout,3618.37,
AZ,tract,12,1,Timeout,3618.48,
NJ,tract,12,2,Infeasible,7.14,
NJ,tract,13,1,Timeout,4148.70,
IL,tract,13,3,Infeasible,143.93,
IL,tract,14,2,Timeout,4727.87,
IL,tract,14,1,Timeout,3634.26,
NJ,tract,2181,6061,2,12,Infeasible,3.27
,,,,2,13,Infeasible,9.67
,,,,2,14,Unknown,timeout 
,,,,2,15,Unknown,timeout 
NJ,tract,2181,6061,1,12,Unknown,timeout 
,,,,1,13,Unknown,timeout 
IL,tract,3265,8728,3,13,Infeasible,109.04
,,,,3,14,Infeasible,208.93
,,,,3,15,Infeasible,287.14
,,,,3,16,Infeasible,412.65
,,,,3,17,Unknown,timeout 
,,,,3,18,Unknown,timeout 
IL,tract,3265,8728,2,13,Infeasible,245.97
,,,,2,14,Unknown,timeout 
,,,,2,15,Unknown,timeout 
IL,tract,3265,8728,1,13,Unknown,timeout 
,,,,1,14,Unknown,timeout 
NM,county,33,78,1,4,Infeasible,0.01
,,,,1,5,Feasible,0.07
NM,tract,612,1631,2,12,Unknown,timeout 
,,,,2,13,Unknown,timeout 
CO,tract,1447,3909,1,11,Infeasible,0.00
,,,,1,12,Infeasible,0.00
,,,,1,13,Infeasible,0.00
,,,,1,14,Infeasible,0.00
,,,,1,15,Infeasible,0.00
,,,,1,16,Unknown,timeout 
,,,,1,17,Unknown,timeout 
AZ,tract,1765,4593,3,12,Unknown,timeout 
,,,,3,13,Unknown,timeout 
AZ,tract,1765,4593,2,12,Unknown,timeout 
,,,,2,13,Unknown,timeout 
AZ,tract,1765,4593,1,12,Unknown,timeout 
,,,,1,13,Unknown,timeout 
NM,tract,612,1631,2,12,Unknown,timeout 
,,,,2,13,Unknown,timeout 
NM,tract,612,1631,1,12,Unknown,timeout 
,,,,1,13,Unknown,timeout 
